category,ASINs,Units_5mo,GMS_Lakhs,Avg_ASP,Amazon_CP_Pct
Bats — Other/Unspecified,4166,78054.0,555.4,1232.3,5.3
Bats — Plastic/Tennis,1653,99920.0,436.6,608.8,6.5
Bats — Wooden/Other Willow,1386,51415.0,275.1,703.1,3.6
Balls — Tennis/Wind/Practice,1195,55799.0,170.4,432.5,3.6
Cricket Sets/Combos,237,5983.0,153.7,3128.9,9.5
Balls — Leather/Cork,896,33295.0,136.8,792.7,6.8
Shoes & Spikes,813,10821.0,133.9,1456.2,11.2
Bats — Kashmir Willow,803,6500.0,119.5,2172.7,8.4
Bats — English Willow,481,5829.0,104.6,3839.9,4.3
Other/Unclassified,763,9902.0,98.9,1755.5,6.5
Protective — Helmets,536,5926.0,98.3,2830.8,9.2
Balls — Other,534,17533.0,97.8,700.0,6.3
Stumps & Wickets,685,20186.0,92.5,545.5,0.5
Protective — Gloves,539,12809.0,86.6,1355.2,4.8
Kit Bags,317,5819.0,79.6,1885.1,8.6
Protective — Guards,480,7022.0,33.9,677.4,3.8
Protective — Pads,370,5462.0,31.7,942.5,6.8
Apparel & Caps,299,2647.0,17.0,679.1,3.9
Accessories — Bat Care,40,897.0,2.6,415.8,1.5
Balls — Hanging (Practice),11,134.0,0.3,273.2,1.0
