Country,Clicks,Impressions,CTR,Position
India,16748,61193,27.37%,4.1
Oman,42,193,21.76%,2.87
United States,33,7655,0.43%,6.78
Saudi Arabia,30,320,9.38%,7.35
United Arab Emirates,28,357,7.84%,10.26
Nepal,12,287,4.18%,5.36
Bangladesh,10,983,1.02%,7.49
Pakistan,6,709,0.85%,8.61
United Kingdom,5,1376,0.36%,9.24
Canada,5,961,0.52%,6.87
Qatar,5,46,10.87%,6.93
Kuwait,5,35,14.29%,4.11
Netherlands,4,165,2.42%,15.32
Singapore,4,110,3.64%,8.92
Australia,3,504,0.6%,16.58
South Africa,3,192,1.56%,7.44
Maldives,3,13,23.08%,5.46
South Korea,2,826,0.24%,4.85
France,2,281,0.71%,12.01
Malaysia,2,273,0.73%,6.66
Philippines,2,267,0.75%,6.93
Vietnam,2,225,0.89%,9.76
Ecuador,2,119,1.68%,8.63
Egypt,2,79,2.53%,11.43
Nigeria,2,66,3.03%,10.94
Finland,2,40,5%,6.38
Indonesia,1,776,0.13%,7.42
Brazil,1,593,0.17%,8.9
Spain,1,250,0.4%,8.56
Ethiopia,1,234,0.43%,6.39
Italy,1,228,0.44%,11.08
New Zealand,1,90,1.11%,7.38
Bulgaria,1,89,1.12%,7.96
Switzerland,1,62,1.61%,6.95
Iran,1,58,1.72%,5.79
Hong Kong,1,51,1.96%,5.92
Israel,1,50,2%,5.6
Cambodia,1,50,2%,5.96
Uzbekistan,1,29,3.45%,5.83
Iraq,1,27,3.7%,6.07
Zambia,1,26,3.85%,6.5
Armenia,1,18,5.56%,4.61
Bhutan,1,13,7.69%,5.46
Mauritius,1,10,10%,4.2
Afghanistan,1,9,11.11%,3.89
Tanzania,1,7,14.29%,4.29
Yemen,1,5,20%,5.2
Germany,0,405,0%,13.07
Mexico,0,396,0%,6.89
Turkey,0,220,0%,8.35
Poland,0,145,0%,6.59
Ireland,0,139,0%,8.25
Thailand,0,132,0%,9.03
Portugal,0,126,0%,7.81
Peru,0,124,0%,8.27
Japan,0,113,0%,7.82
Sri Lanka,0,102,0%,10.75
Russia,0,99,0%,6.76
Greece,0,91,0%,8.6
Sweden,0,91,0%,9.93
Taiwan,0,87,0%,6.4
Ukraine,0,78,0%,7.63
Belgium,0,76,0%,7.49
Colombia,0,70,0%,8.16
Algeria,0,69,0%,7.58
Chile,0,65,0%,6.88
Argentina,0,60,0%,9.33
Slovenia,0,58,0%,5.93
Romania,0,58,0%,8.1
Denmark,0,57,0%,8.74
China,0,54,0%,6.3
Czechia,0,53,0%,6.4
Hungary,0,52,0%,6.92
Morocco,0,50,0%,7.08
Serbia,0,45,0%,16.91
Norway,0,43,0%,7.07
Croatia,0,36,0%,6.94
Bosnia & Herzegovina,0,36,0%,15.08
Austria,0,35,0%,7.46
Venezuela,0,35,0%,7.69
Dominican Republic,0,32,0%,6.69
Lithuania,0,29,0%,7.79
Jordan,0,29,0%,10.62
Guatemala,0,27,0%,4.7
Slovakia,0,27,0%,6.74
Ghana,0,26,0%,6.23
Kenya,0,24,0%,8.58
Tunisia,0,23,0%,8.43
Kazakhstan,0,22,0%,11.18
Cuba,0,21,0%,4.43
Latvia,0,21,0%,7.9
Uganda,0,19,0%,5.37
Georgia,0,19,0%,6.11
Seychelles,0,19,0%,6.63
Belarus,0,18,0%,8.78
Myanmar (Burma),0,17,0%,3.94
Costa Rica,0,16,0%,5.12
Mozambique,0,16,0%,7.38
Jamaica,0,14,0%,6.36
Estonia,0,14,0%,7
Macedonia,0,14,0%,8.43
Albania,0,13,0%,6.85
Montenegro,0,13,0%,29.15
Palestine,0,12,0%,6.58
Lebanon,0,11,0%,6
Mongolia,0,11,0%,6.45
Cyprus,0,11,0%,8.09
Uruguay,0,11,0%,11.73
Honduras,0,10,0%,2.7
Libya,0,10,0%,6.4
Moldova,0,10,0%,7.9
Syria,0,10,0%,8.9
Bahrain,0,9,0%,5.11
Puerto Rico,0,9,0%,6.33
Malta,0,9,0%,7.67
Unknown Region,0,9,0%,7.67
Bolivia,0,9,0%,14.11
Nicaragua,0,8,0%,4
Bahamas,0,8,0%,4.62
Panama,0,8,0%,6
Laos,0,8,0%,7.25
Azerbaijan,0,8,0%,8
Zimbabwe,0,8,0%,8
Guyana,0,8,0%,12
El Salvador,0,7,0%,4.29
Brunei,0,7,0%,7.14
Congo - Kinshasa,0,6,0%,3.67
Angola,0,6,0%,5.5
Namibia,0,6,0%,7.67
Côte d’Ivoire,0,6,0%,7.83
