Top pages,Clicks,Impressions,CTR,Position
https://sd18sports.com/,12579,58531,21.49%,4.38
https://sd18sports.com/category/cap,2133,25263,8.44%,3.06
https://sd18sports.com/category/sports-wear,1043,28127,3.71%,3.04
https://sd18sports.com/category/bag,512,13549,3.78%,4.07
https://sd18sports.com/category/men,483,14093,3.43%,2.44
https://sd18sports.com/subcategory/bat,469,20464,2.29%,3.11
https://sd18sports.com/new-arrivals,456,24336,1.87%,2.72
https://sd18sports.com/contact-us,303,20428,1.48%,2.81
https://sd18sports.com/category/bat,244,11450,2.13%,4.07
https://sd18sports.com/subcategory/leg-guard,110,3654,3.01%,3.53
https://sd18sports.com/category/sports-accessories,97,11111,0.87%,5.15
https://sd18sports.com/subcategory/gloves,93,1191,7.81%,7.29
https://sd18sports.com/productdetails/sd18-kashmiri-willow-tennis-bat,58,7119,0.81%,4.33
https://sd18sports.com/login,48,4643,1.03%,6.33
https://sd18sports.com/productdetails/blue-sky-nylon-tracksuit?size=1,44,579,7.6%,3.23
https://sd18sports.com/most-selling-product,40,3825,1.05%,7.06
https://sd18sports.com/productdetails/sd18-player-edition-bag,33,537,6.15%,5.22
https://sd18sports.com/productdetails/premium-navy-blue-red-cap-11615,31,1800,1.72%,7.42
https://sd18sports.com/productdetails/sd18-kashmiri-willow-duess-bat-?size=24,29,9906,0.29%,4.14
https://sd18sports.com/blog/best-cricket-equipment-online-shop-in-india-for-players,29,1804,1.61%,9.11
https://sd18sports.com/category/gloves,23,205,11.22%,10.46
https://sd18sports.com/discounts,19,2028,0.94%,7.39
https://sd18sports.com/productdetails/sd18-blue-pro-bag-pack,19,401,4.74%,6.48
https://sd18sports.com/productdetails/sd18-player-batting-gloves,18,287,6.27%,6.11
https://sd18sports.com/productdetails/sd18-test-red-ball,17,4084,0.42%,3.81
https://sd18sports.com/productdetails/sd18-marron-classic-polo-t-shirt?size=1,17,494,3.44%,5.01
https://sd18sports.com/productdetails/sd18-flexi-cap,12,1116,1.08%,6.67
https://sd18sports.com/subcategory/thigh-pad,12,308,3.9%,6.62
https://sd18sports.com/productdetails/sd18-sky-t-hole-cap,11,1094,1.01%,4.35
https://sd18sports.com/productdetails/sd18-jupiter-bag,11,334,3.29%,6.77
https://sd18sports.com/category/leg-guard,11,177,6.21%,7.64
https://sd18sports.com/shipping-and-delivery,10,509,1.96%,6.69
https://sd18sports.com/category/thigh-pad,10,105,9.52%,11.66
https://sd18sports.com/productdetails/sd18-professional-bag,9,596,1.51%,5.47
https://sd18sports.com/productdetails/sd18-green-football-jersey?size=1,8,1009,0.79%,3.68
https://sd18sports.com/productdetails/sd18-blue-football-jersey?size=1,8,788,1.02%,3.73
https://sd18sports.com/category/ball,8,249,3.21%,7.55
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bat-?size=24,7,2661,0.26%,5.26
https://sd18sports.com/about-us,7,1121,0.62%,8.83
https://sd18sports.com/productdetails/sd18-blue-classic-polo-t-shirt?size=1,7,351,1.99%,6.8
https://sd18sports.com/productdetails/sd18-player-batting-gloves?size=7,7,178,3.93%,5.17
https://sd18sports.com/subcategory/ball,7,62,11.29%,7.16
https://sd18sports.com/productdetails/sd18-red-camou-flage-cap,6,716,0.84%,3.71
https://sd18sports.com/new-arrivals?page=2,6,679,0.88%,7.64
https://sd18sports.com/productdetails/sd18-black-hip-hop-cap,6,634,0.95%,8.11
https://sd18sports.com/productdetails/sd18-batting-leg-guard-xtream,6,83,7.23%,5.7
https://sd18sports.com/productdetails/sd18-pink-football-jersey?size=1,5,558,0.9%,6.64
https://sd18sports.com/productdetails/sd18-black-basic-polo-t-shirt?size=1,5,225,2.22%,8.26
https://sd18sports.com/productdetails/black-taiwan-velvet-tracksuit?size=1,5,214,2.34%,4.93
https://sd18sports.com/productdetails/sd18-white-basic-polo-t-shirt?size=1,5,179,2.79%,7.63
https://sd18sports.com/subcategory/cap,5,151,3.31%,2.91
https://sd18sports.com/productdetails/sd18-elite-bag-pack-black-blue,5,147,3.4%,7.44
https://sd18sports.com/productdetails/sd18-soft-grey-black-hoodie?size=2,5,72,6.94%,5.01
https://sd18sports.com/productdetails/off-white-fleece-jacket?size=2,5,64,7.81%,8.36
https://sd18sports.com/productdetails/sd18-tournament-red-ball,4,3140,0.13%,3.75
https://sd18sports.com/blog/your-ultimate-guide-to-buying-cricket-accessories-online-in-india,4,864,0.46%,7.9
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bats?size=20,4,425,0.94%,7.58
https://sd18sports.com/productdetails/olive-nylon-tracksuit?size=1,4,224,1.79%,5.21
https://sd18sports.com/productdetails/ten-nylon-tracksuit?size=1,4,179,2.23%,5.45
https://sd18sports.com/productdetails/sd18-pro-soft-batting-gloves?size=7,4,150,2.67%,6.45
https://sd18sports.com/productdetails/sd18-player-edition-wicket-keeping-gloves?size=16,4,94,4.26%,6.64
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bat?size=20,3,2041,0.15%,5.21
https://sd18sports.com/productdetails/sd18-blue-foam-back-pack,3,1102,0.27%,3.53
https://sd18sports.com/productdetails/sd18-green-classic-polo-t-shirt?size=1,3,402,0.75%,5.52
https://sd18sports.com/productdetails/sd18-classic-bag,3,362,0.83%,8.14
https://sd18sports.com/productdetails/sd18-navy-blue-flexi-cap,3,293,1.02%,5.99
https://sd18sports.com/productdetails/sd18-pro-soft-batting-gloves,3,165,1.82%,5.4
https://sd18sports.com/productdetails/sd18-navy-blue-bucket-hat,3,135,2.22%,12.26
https://sd18sports.com/productdetails/sd18-xtreme-thigh-pad?size=7,3,100,3%,6.44
https://sd18sports.com/productdetails/sd18-player-edition-thigh-pad?size=7,3,36,8.33%,5.39
https://sd18sports.com/blog/how-to-choose-right-sports-gear-online-in-india,2,1512,0.13%,6.93
https://sd18sports.com/productdetails/sd18-player-choice-bag,2,349,0.57%,7.3
https://sd18sports.com/productdetails/sd18-red-sky-little-master-bag,2,333,0.6%,8.01
https://sd18sports.com/productdetails/sd18-blue-premium-polo-t-shirt?size=1,2,264,0.76%,6.27
https://sd18sports.com/productdetails/sd18-elite-bag-pack-blue-black,2,263,0.76%,8.65
https://sd18sports.com/category/elbow,2,184,1.09%,13.92
https://sd18sports.com/productdetails/sd18-till-blue-premium-polo-t-shirt?size=1,2,175,1.14%,6.63
https://sd18sports.com/productdetails/sd18-beige-hip-hop-cap,2,165,1.21%,6.03
https://sd18sports.com/productdetails/sd18-grey-premium-polo-t-shirt?size=1,2,126,1.59%,9.02
https://sd18sports.com/subcategory/bag,2,125,1.6%,3.06
https://sd18sports.com/productdetails/sd18-yellow-blue-premium-cap,2,122,1.64%,5.8
https://sd18sports.com/productdetails/premium-maroon-black-cap-11614,2,70,2.86%,5.26
https://sd18sports.com/productdetails/sd18-green-premium-polo-t-shirt?size=1,2,70,2.86%,7.64
https://sd18sports.com/productdetails/sd18-elite-bag-pack-blue-black?size=20,2,45,4.44%,8.84
https://sd18sports.com/productdetails/sd18-match-lite-thigh-pad?size=6,2,21,9.52%,6.29
https://sd18sports.com/productdetails/off-white-fleece-jacket,2,10,20%,9.8
https://sd18sports.com/terms-and-conditions,1,582,0.17%,8.13
https://sd18sports.com/productdetails/sd18-green-camou-flage-cap,1,395,0.25%,4.78
https://sd18sports.com/cancellation-refund-policy,1,196,0.51%,8.69
https://sd18sports.com/productdetails/sd18-white-club-ball,1,191,0.52%,7.24
https://sd18sports.com/productdetails/sd18-pink-premium-polo-t-shirt?size=1,1,149,0.67%,6.92
https://sd18sports.com/productdetails/sd18-red-blue-little-master-bag,1,108,0.93%,9.21
https://sd18sports.com/productdetails/sd18-batting-leg-guard-xtream?size=6,1,84,1.19%,8.95
https://sd18sports.com/productdetails/premium-sky-blue-black-cap-11610,1,66,1.52%,8.05
https://sd18sports.com/productdetails/orange-white-hip-hop-cap-12676,1,50,2%,7.04
https://sd18sports.com/productdetails/premium-purple-black-cap-11611,1,35,2.86%,8.23
https://sd18sports.com/productdetails/sd18-match-lite-gloves?size=7,1,28,3.57%,6.93
https://sd18sports.com/productdetails/sd18-player-edition-wicket-keeping-gloves,1,23,4.35%,10
https://sd18sports.com/subcategory/thigh-pad?page=2,1,20,5%,5.2
https://sd18sports.com/productdetails/sd18-super-test-gloves?size=6,1,18,5.56%,7.72
https://sd18sports.com/productdetails/white-fleece-jacket?size=2,1,17,5.88%,7
https://sd18sports.com/uploads/GST-CERTIFICATE.pdf,1,16,6.25%,11.38
https://sd18sports.com/subcategory/men,1,16,6.25%,13.19
https://sd18sports.com/productdetails/sd18-gold-edition-leg-guard,1,14,7.14%,5
https://sd18sports.com/productdetails/sd18-grey-premium-polo-t-shirt,1,11,9.09%,3.82
https://sd18sports.com/blog/make-it-memorable,1,9,11.11%,5.89
https://sd18sports.com/productdetails/sd18-bucket-hat,1,9,11.11%,7.78
https://sd18sports.com/category/sports-accessories?page=6,1,8,12.5%,7
https://sd18sports.com/blogs,0,236,0%,11.07
https://sd18sports.com/productdetails/sd18-sky-hip-hop-cap,0,232,0%,6.22
https://sd18sports.com/productdetails/sd18-blue-classic-polo-t-shirt,0,157,0%,4.59
https://sd18sports.com/productdetails/sd18-green-football-jersey,0,136,0%,9.1
https://sd18sports.com/carts,0,136,0%,11.41
https://sd18sports.com/privacy-policy,0,113,0%,12.27
https://sd18sports.com/productdetails/sd18-orange-basic-polo-t-shirt?size=1,0,111,0%,7.86
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bat-,0,108,0%,5.39
https://sd18sports.com/productdetails/sd18-kashmiri-willow-duess-bat?size=20,0,90,0%,4.52
https://sd18sports.com/productdetails/sd18-test-leg-guard,0,84,0%,5.92
https://sd18sports.com/discounts?page=3,0,76,0%,8.51
https://sd18sports.com/productdetails/sd18-dasher-bag,0,67,0%,9.39
https://sd18sports.com/productdetails/sd18-club-red-ball,0,54,0%,7.07
https://sd18sports.com/productdetails/white-tournament-ball,0,52,0%,5.56
https://sd18sports.com/category/sports-wear?page=3,0,42,0%,6.9
https://sd18sports.com/most-selling-product?page=2,0,40,0%,9.7
https://sd18sports.com/productdetails/premium-black-cap-11594,0,35,0%,10.77
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bats,0,33,0%,5.94
https://sd18sports.com/productdetails/sd18-test-thigh-pad?size=7,0,31,0%,7.9
https://sd18sports.com/productdetails/sd18-white-blue-premium-cap,0,30,0%,8.7
https://sd18sports.com/productdetails/sd18-green-classic-polo-t-shirt,0,28,0%,4.36
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bat,0,23,0%,3.91
