Top queries,Clicks,Impressions,CTR,Position
sd18 sports,5184,7665,67.63%,1.11
sd18,2955,7421,39.82%,2.24
sd 18 sports,1634,2709,60.32%,1.32
sd18 cap,967,1411,68.53%,1.13
sd 18,569,2284,24.91%,4.31
sd 18 cap,214,362,59.12%,1.27
sd18 jersey,202,309,65.37%,1.08
sd18 bat,128,291,43.99%,1
sd18 cap price,118,197,59.9%,1
sd18 sports jersey,91,162,56.17%,1.15
sd18 sports photos,76,658,11.55%,1.98
sd18 sports asansol,62,255,24.31%,2.06
sd sports,52,5126,1.01%,8.4
sd18 sports live,36,1105,3.26%,3.84
sd18 sports owner,30,620,4.84%,3.41
sd18 asansol,28,104,26.92%,1.4
sd18sports,19,168,11.31%,4.48
sd 18 sports asansol,17,67,25.37%,1.66
dues bat,13,6959,0.19%,4.06
sd 18 sports sasaram,13,95,13.68%,2.13
sd18 track pants,13,26,50%,1
sd18 sports t-shirt,9,18,50%,1
sd-18,7,1056,0.66%,4.28
sd18 cricket,7,374,1.87%,3.91
sd sport,6,602,1%,13.46
sd18 sport,6,290,2.07%,5.21
sd18 jacket,6,15,40%,4.4
sd bats,5,97,5.15%,7.29
sd18 sports track pants,5,13,38.46%,1
sd 18 bat,5,7,71.43%,1.14
18 sports,4,1195,0.33%,8.93
18 cap,4,1166,0.34%,8.94
sports shop near me,4,368,1.09%,8.35
sports 18,4,269,1.49%,13.92
sports shop in asansol,4,218,1.83%,6.43
sd18 sports cap,4,5,80%,1
sd bat,3,469,0.64%,8.59
sd sports shop,3,115,2.61%,6.98
sd sports 18,3,100,3%,5.84
sd 18 sport,3,69,4.35%,2.64
so18,3,34,8.82%,6.97
sd 18 asansol,3,12,25%,3.92
sd18 sports live score,3,11,27.27%,2.36
so18 sports,3,9,33.33%,1
sports shop asansol,2,248,0.81%,6.4
18sports,2,191,1.05%,7.49
s d sports,2,189,1.06%,8.25
18 bat,2,145,1.38%,5.85
best sports shop in asansol,2,66,3.03%,3.52
s018,2,13,15.38%,4.62
so18 bat,2,9,22.22%,2.78
sd18 cricket bat,2,6,33.33%,1
asansol sports shop,1,325,0.31%,6.02
sd cap,1,270,0.37%,10.27
18 caps,1,201,0.5%,9.22
18 sports shop,1,130,0.77%,6.62
18 cap price,1,129,0.78%,9.5
bat dues,1,51,1.96%,3.06
burnpur sports shop,1,46,2.17%,9.02
kashmir willow tennis bat,1,28,3.57%,47.82
sd sports app,1,19,5.26%,9.05
sd 018,1,12,8.33%,2.92
sd t shirt,1,12,8.33%,10
ans 18 cricket bat,1,10,10%,12.7
18bat,1,7,14.29%,5
price,1,5,20%,6
sd wear,1,3,33.33%,7.67
bat shop near me,1,1,100%,1
s018 bat,1,1,100%,1
what symbol is this,1,1,100%,3
best cricket sports shop near me,1,1,100%,8
best cricket shop in india,1,1,100%,41
sd18 sports camps,0,680,0%,6.66
sd18 live match,0,576,0%,9.85
how to choose the right sports gear,0,494,0%,9.35
dues bats,0,389,0%,6.95
sd18 sports latest,0,368,0%,4.35
how do i choose affordable sports protective gear for kids in india?,0,216,0%,2.68
sd sports latest,0,212,0%,11.24
sport 18,0,190,0%,31.04
"which cheap version of sporting gear is still good quality for beginners in 
india?",0,167,0%,5.61
sd 18 sports latest,0,162,0%,6.44
duse bat,0,151,0%,3.8
sd18 jersey latest,0,144,0%,6.05
sdsports,0,141,0%,8.34
what is the best sports protective gear for beginners in india?,0,138,0%,5.45
sd18 sport storage,0,136,0%,6.52
sd cricket,0,134,0%,11.59
sd18 live,0,133,0%,6.05
sd sportswear,0,131,0%,19.76
sd 18 sports live,0,104,0%,6.97
#sd18sports latest,0,98,0%,2.07
sd18 asansol latest,0,94,0%,7.44
ans 18 sports bat latest,0,90,0%,4.13
sd sport clothing,0,82,0%,12.4
18 bat latest,0,80,0%,5.45
and 18 bat,0,79,0%,3.25
sd sports clothing,0,78,0%,12.4
sd sports pali latest,0,72,0%,13.14
